GenPept accession,Phylum,Class
2012194A, Kitrinoviricota, Alsuviricetes
2211403A, Kitrinoviricota, Alsuviricetes
4WRT_B, Negarnaviricota, Insthoviricetes
4WSB_B, Negarnaviricota, Insthoviricetes
5AMR_A, Negarnaviricota, Ellioviricetes
AAA43036, Pisuviricota, Pisoniviricetes
AAA46565, Pisuviricota, Pisoniviricetes
AAA64287, Pisuviricota, Pisoniviricetes
AAA66950, Pisuviricota, Pisoniviricetes
AAA86113, Kitrinoviricota, Alsuviricetes
AAA91583, Pisuviricota, Stelpaviricetes
AAA98577, Pisuviricota, Stelpaviricetes
AAB27624, Pisuviricota, Duplopiviricetes
AAB50573, Pisuviricota, Stelpaviricetes
AAB69867, Pisuviricota, Pisoniviricetes
AAC01572, Pisuviricota, Stelpaviricetes
AAC06252, Lenarviricota, Leviviricetes
AAC55659, Kitrinoviricota, Alsuviricetes
AAC55983, Kitrinoviricota, Flasuviricetes
AAC58753, Kitrinoviricota, Flasuviricetes
AAC58756, Kitrinoviricota, Flasuviricetes
AAC58758, Kitrinoviricota, Flasuviricetes
AAC58759, Kitrinoviricota, Flasuviricetes
AAC58789, Kitrinoviricota, Flasuviricetes
AAC58790, Kitrinoviricota, Flasuviricetes
AAD13622, Kitrinoviricota, Alsuviricetes
AAD14562, Kitrinoviricota, Alsuviricetes
AAD16174, Pisuviricota, Pisoniviricetes
AAD31543, Kitrinoviricota, Flasuviricetes
AAD32960, Kitrinoviricota, Flasuviricetes
AAD44718, Kitrinoviricota, Flasuviricetes
AAD45560, Pisuviricota, Stelpaviricetes
AAF13603, Pisuviricota, Duplopiviricetes
AAF18330, Kitrinoviricota, Alsuviricetes
AAF26709, Kitrinoviricota, Alsuviricetes
AAF97924, Kitrinoviricota, Alsuviricetes
AAG13939, Kitrinoviricota, Alsuviricetes
AAG53583, Pisuviricota, Duplopiviricetes
AAK49964, Pisuviricota, Pisoniviricetes
AAK50546, Negarnaviricota, Monjiviricetes
AAK52739, Pisuviricota, Duplopiviricetes
AAL30476, Negarnaviricota, Insthoviricetes
AAL32166, Kitrinoviricota, Flasuviricetes
AAL69622, Pisuviricota, Pisoniviricetes
AAL69623, Pisuviricota, Pisoniviricetes
AAL69633, Pisuviricota, Pisoniviricetes
AAL69636, Pisuviricota, Pisoniviricetes
AAL71892, Pisuviricota, Stelpaviricetes
AAL73971, Pisuviricota, Stelpaviricetes
AAL79540, Pisuviricota, Duplopiviricetes
AAM46081, Pisuviricota, Pisoniviricetes
AAN77511, Kitrinoviricota, Flasuviricetes
AAN77512, Kitrinoviricota, Flasuviricetes
AAO13836, Pisuviricota, Stelpaviricetes
AAO21337, Lenarviricota, Howeltoviricetes
AAO24117, Kitrinoviricota, Flasuviricetes
AAO83985, Pisuviricota, Pisoniviricetes
AAP03645, Negarnaviricota, Monjiviricetes
AAP44539, Negarnaviricota, Ellioviricetes
AAP44541, Negarnaviricota, Ellioviricetes
AAP44542, Negarnaviricota, Ellioviricetes
AAP78486, Kitrinoviricota, Tolucaviricetes
AAQ10758, Pisuviricota, Stelpaviricetes
AAQ17057, Pisuviricota, Pisoniviricetes
AAR01970, Lenarviricota, Howeltoviricetes
AAR01973, Lenarviricota, Howeltoviricetes
AAR12300, Negarnaviricota, Insthoviricetes
AAR14150, Pisuviricota, Pisoniviricetes
AAR89466, Kitrinoviricota, Alsuviricetes
AAS57939, Kitrinoviricota, Alsuviricetes
AAT01719, Pisuviricota, Pisoniviricetes
AAT48886, Pisuviricota, Duplopiviricetes
AAT70770, Pisuviricota, Pisoniviricetes
AAT81157, Pisuviricota, Pisoniviricetes
AAT85717, Kitrinoviricota, Flasuviricetes
AAU88207, Pisuviricota, Duplopiviricetes
AAV34154, Kitrinoviricota, Flasuviricetes
AAV34158, Kitrinoviricota, Flasuviricetes
AAV48581, Negarnaviricota, Monjiviricetes
AAV86083, Pisuviricota, Pisoniviricetes
AAX07259, Kitrinoviricota, Alsuviricetes
AAX32879, Pisuviricota, Pisoniviricetes
AAX49344, Negarnaviricota, Ellioviricetes
AAY18409, Kitrinoviricota, Alsuviricetes
AAY40312, Pisuviricota, Pisoniviricetes
AAY51483, Pisuviricota, Duplopiviricetes
AAZ57426, Pisuviricota, Pisoniviricetes
AAZ76594, Pisuviricota, Pisoniviricetes
AAZ81884, Kitrinoviricota, Alsuviricetes
ABA43708, Pisuviricota, Pisoniviricetes
ABA54133, Kitrinoviricota, Alsuviricetes
ABA60784, Kitrinoviricota, Alsuviricetes
ABB71671, Negarnaviricota, Monjiviricetes
ABB90673, Kitrinoviricota, Flasuviricetes
ABC40679, Kitrinoviricota, Flasuviricetes
ABC67516, Kitrinoviricota, Tolucaviricetes
ABC86749, Pisuviricota, Duplopiviricetes
ABC86751, Duplornaviricota, Chrymotiviricetes
ABC96748, Pisuviricota, Pisoniviricetes
ABC96750, Pisuviricota, Pisoniviricetes
ABC96755, Pisuviricota, Pisoniviricetes
ABD34316, Kitrinoviricota, Tolucaviricetes
ABD75543, Pisuviricota, Pisoniviricetes
ABD75828, Kitrinoviricota, Flasuviricetes
ABE73208, Kitrinoviricota, Flasuviricetes
ABF51185, Pisuviricota, Pisoniviricetes
ABF51192, Pisuviricota, Pisoniviricetes
ABF51200, Pisuviricota, Pisoniviricetes
ABF51204, Pisuviricota, Pisoniviricetes
ABF60957, Kitrinoviricota, Flasuviricetes
ABF67520, Duplornaviricota, Resentoviricetes
ABG74927, Pisuviricota, Stelpaviricetes
ABG81341, Kitrinoviricota, Flasuviricetes
ABH06988, Kitrinoviricota, Alsuviricetes
ABH06996, Kitrinoviricota, Alsuviricetes
ABH10135, Pisuviricota, Stelpaviricetes
ABI23434, Pisuviricota, Pisoniviricetes
ABI96821, Negarnaviricota, Ellioviricetes
ABI99478, Pisuviricota, Stelpaviricetes
ABJ99996, Pisuviricota, Duplopiviricetes
ABK00130, Negarnaviricota, Insthoviricetes
ABK29455, Pisuviricota, Pisoniviricetes
ABK35363, Duplornaviricota, Vidaverviricetes
ABK91835, Kitrinoviricota, Flasuviricetes
ABL61316, Pisuviricota, Pisoniviricetes
ABM54550, Pisuviricota, Pisoniviricetes
ABM65095, Pisuviricota, Pisoniviricetes
ABN51178, Negarnaviricota, Ellioviricetes
ABN71239, Pisuviricota, Duplopiviricetes
ABO18577, Kitrinoviricota, Tolucaviricetes
ABO42303, Negarnaviricota, Monjiviricetes
ABO69374, Pisuviricota, Pisoniviricetes
ABO69376, Pisuviricota, Pisoniviricetes
ABO69377, Pisuviricota, Pisoniviricetes
ABP87977, Negarnaviricota, Ellioviricetes
ABP88845, Kitrinoviricota, Flasuviricetes
ABQ41107, Kitrinoviricota, Alsuviricetes
ABQ53134, Duplornaviricota, Chrymotiviricetes
ABQ57223, Pisuviricota, Pisoniviricetes
ABR27424, Kitrinoviricota, Flasuviricetes
ABR68927, Kitrinoviricota, Alsuviricetes
ABR88099, Pisuviricota, Stelpaviricetes
ABS18757, Negarnaviricota, Monjiviricetes
ABS29339, Kitrinoviricota, Magsaviricetes
ABU39911, Negarnaviricota, Ellioviricetes
ABU41789, Kitrinoviricota, Flasuviricetes
ABU55400, Pisuviricota, Duplopiviricetes
ABU55615, Pisuviricota, Pisoniviricetes
ABU94739, Kitrinoviricota, Alsuviricetes
ABU98319, Kitrinoviricota, Alsuviricetes
ABV21394, Negarnaviricota, Ellioviricetes
ABV21734, Pisuviricota, Stelpaviricetes
ABV25904, Pisuviricota, Pisoniviricetes
ABV55251, Kitrinoviricota, Flasuviricetes
ABV55637, Pisuviricota, Pisoniviricetes
ABV56203, Kitrinoviricota, Alsuviricetes
ABV56612, Pisuviricota, Pisoniviricetes
ABV89762, Pisuviricota, Duplopiviricetes
ABW24037, Negarnaviricota, Monjiviricetes
ABW76844, Kitrinoviricota, Flasuviricetes
ABW97532, Kitrinoviricota, Alsuviricetes
ABX74939, Pisuviricota, Pisoniviricetes
ABX79995, Duplornaviricota, Chrymotiviricetes
ABX79996, Duplornaviricota, Chrymotiviricetes
ABX79997, Duplornaviricota, Chrymotiviricetes
ABX80373, Kitrinoviricota, Flasuviricetes
ABX80375, Kitrinoviricota, Flasuviricetes
ABY27302, Kitrinoviricota, Alsuviricetes
ABY73571, Kitrinoviricota, Tolucaviricetes
